N,Z,A,Element,Origin,Mass Excess [keV],ME unc [keV],Binding Energy [keV],BE unc [keV],B?,B- decay Energy [keV],B-decay En unc [keV]
55,49,104,In,x,-76183,6,8435.24,0.06,B+,7786,6     10
54,50,104,Sn,,-71627,6,8383.91,0.06,B+,4556,8     10
53,51,104,Sb,#NAME?,-59170,120,8256.6,1.2,B+,12450,120     10
67,38,105,Sr,x,-38610,500,8156,5,B-,12660,1430.    10
66,39,105,Y,x,-51270,1340,8269,13,B-,10190,1340     10
65,40,105,Zr,x,-61465,12,8358.66,0.12,B-,8451,13     10
64,41,105,Nb,x,-69916,4,8431.69,0.04,B-,7422,10     10
63,42,105,Mo,,-77337,9,8494.92,0.09,B-,4950,40     10
62,43,105,Tc,,-82290,40,8534.6,0.3,B-,3640,40     10
61,44,105,Ru,,-85934.5,2.5,8561.9,0.024,B-,1916.8,2.9   10
60,45,105,Rh,,-87851.2,2.5,8572.704,0.024,B-,566.6,2.3   10
59,46,105,Pd,,-88417.9,1.1,8570.65,0.011,,*,10
58,47,105,Ag,,-87071,5,8550.37,0.04,B+,1347,5     10
57,48,105,Cd,,-84333.8,1.4,8516.852,0.013,B+,2737,4     10
56,49,105,In,x,-79641,10,8464.7,0.1,B+,4693,10     10
55,50,105,Sn,,-73338,4,8397.23,0.04,B+,6303,11     10
54,51,105,Sb,#NAME?,-64015,22,8300.99,0.21,B+,9323,22     10
53,52,105,Te,#NAME?,-52810,300,8186.8,2.9,B+,11200,300     10
68,38,106,Sr,x,-34790,600,8119,6,B-,11260,780.    10
67,39,106,Y,x,-46050,500,8218,5,B-,12500,660.    10
66,40,106,Zr,x,-58550,430,8328,4,B-,7650,430     10
65,41,106,Nb,x,-66203,4,8393.27,0.04,B-,9931,10     10
64,42,106,Mo,x,-76135,9,8479.58,0.09,B-,3642,15     10
63,43,106,Tc,+,-79776,12,8506.56,0.12,B-,6547,11     10
62,44,106,Ru,,-86323,5,8560.94,0.05,B-,39.4,0.21  10
61,45,106,Rh,,-86363,5,8553.93,0.05,B-,3545,5     10
60,46,106,Pd,,-89907.5,1.1,8579.992,0.01,B-,-2965.1,2.8   10
59,47,106,Ag,,-86942,3,8544.639,0.028,B-,189.8,2.8   10
58,48,106,Cd,,-87132.1,1.1,8539.048,0.01,,*,10
57,49,106,In,-,-80608,12,8470.12,0.12,B+,6524,12     10
56,50,106,Sn,,-77354,5,8432.04,0.05,B+,3254,13     10
55,51,106,Sb,x,-66473,7,8322.01,0.07,B+,10880,9     10
54,52,106,Te,#NAME?,-58220,100,8236.8,0.9,B+,8250,100     10
69,38,107,Sr,x,-28900,700,8064,7,B-,13470,860.    10
68,39,107,Y,x,-42360,500,8182,5,B-,12020,1230.    10
67,40,107,Zr,x,-54380,1120,8287,10,B-,9340,1120     10
66,41,107,Nb,x,-63724,8,8367.09,0.07,B-,8828,12     10
65,42,107,Mo,x,-72552,9,8442.28,0.09,B-,6198,13     10
64,43,107,Tc,x,-78750,9,8492.9,0.08,B-,5113,12     10
63,44,107,Ru,#NAME?,-83863,9,8533.37,0.08,B-,3001,15     10
62,45,107,Rh,#NAME?,-86864,12,8554.1,0.11,B-,1509,12     10
61,46,107,Pd,,-88372.6,1.2,8560.894,0.011,B-,34,2.3   10
60,47,107,Ag,,-88406.7,2.4,8553.9,0.022,,*,10
59,48,107,Cd,,-86990.3,1.7,8533.351,0.016,B+,1416.4,2.6   10
58,49,107,In,-,-83564,11,8494.02,0.1,B+,3426,11     10
57,50,107,Sn,x,-78512,5,8439.49,0.05,B+,5052,12     10
56,51,107,Sb,,-70653,4,8358.73,0.04,B+,7859,7     10
55,52,107,Te,#NAME?,-60540,70,8256.9,0.7,B+,10110,70     10
54,53,107,I,x,-49430,300,8146,3,B+,11110,310.    10
69,39,108,Y,x,-37300,600,8134,6,B-,14060,720.    10
68,40,108,Zr,x,-51350,400,8257,4,B-,8190,400.    10
67,41,108,Nb,x,-59546,8,8325.66,0.08,B-,11210,12     10
66,42,108,Mo,x,-70756,9,8422.22,0.09,B-,5167,13     10
65,43,108,Tc,x,-75923,9,8462.82,0.08,B-,7739,12     10
64,44,108,Ru,-3n,-83661,9,8527.23,0.08,B-,1370,16     10
63,45,108,Rh,x,-85032,14,8532.67,0.13,B-,4492,14     10
62,46,108,Pd,,-89524.2,1.1,8567.023,0.01,B-,-1917.4,2.6   10
61,47,108,Ag,#NAME?,-87606.8,2.4,8542.025,0.022,B-,1645.7,2.6   10
