N,Z,A,Element,Origin,Mass Excess [keV],ME unc [keV],Binding Energy [keV],BE unc [keV],B?,B- decay Energy [keV],B-decay En unc [keV]
1,0,1,n,,8071.3171,0.0005,0,0,B-,782.346,0.001
0,1,1,H,,7288.97061,0.00009,0,0,,*,
1,1,2,H,,13135.72176,0.00011,1112.283,0,,*,
2,1,3,H,,14949.80993,0.00022,2827.265,0,B-,18.592,0
1,2,3,He,,14931.21793,0.00021,2572.68,0,,*,
0,3,3,Li,#NAME?,28670,2000,-2270,670,B+,13740,2000
3,1,4,H,#NAME?,24620,100,1720,25,B-,22200,100
2,2,4,He,,2424.91561,0.00006,7073.915,0,,*,
1,3,4,Li,#NAME?,25320,210,1150,50,B+,22900,210
4,1,5,H,#NAME?,32890,90,1336,18,B-,21660,90
3,2,5,He,#NAME?,11231,20,5512,4,,*,
2,3,5,Li,#NAME?,11680,50,5266,10,B+,450,50
1,4,5,Be,x,37140,2000,20,400,B+,25460,2000
5,1,6,H,-3n,41880,250,960,40,B-,24280,250
4,2,6,He,,17592.1,0.05,4878.519,0.009,B-,3505.22,0.05
3,3,6,Li,,14086.8789,0.0014,5332.331,0,,*,
2,4,6,Be,-,18375,5,4487.2,0.9,B+,4288,5
1,5,6,B,x,47320,2000,-470,330,B+,28950,2000
6,1,7,H,#NAME?,49140,1000,940,140,B-,23060,1000
5,2,7,He,#NAME?,26073,8,4123.1,1.1,B-,11166,8
4,3,7,Li,,14907.105,0.004,5606.439,0.001,,*,
3,4,7,Be,,15769,0.07,5371.548,0.01,B+,861.89,0.07
2,5,7,B,p4n,27677,25,3559,4,B+,11908,25
6,2,8,He,,31609.68,0.09,3924.52,0.011,B-,10663.88,0.1
5,3,8,Li,,20945.8,0.05,5159.712,0.006,B-,16004.13,0.06
4,4,8,Be,#NAME?,4941.67,0.04,7062.435,0.004,,*,
3,5,8,B,,22921.6,1,4717.15,0.12,B+,17979.9,1
2,6,8,C,,35064,18,3101.5,2.3,B+,12143,18
7,2,9,He,,40940,50,3349,5,B-,15980,50
6,3,9,Li,-3n,24954.9,0.19,5037.768,0.021,B-,13606.45,0.2
5,4,9,Be,,11348.45,0.08,6462.668,0.009,,*,
4,5,9,B,-,12416.5,0.9,6257.07,0.1,B+,1068,0.9
3,6,9,C,#NAME?,28911,2.1,4337.42,0.24,B+,16494.5,2.3
8,2,10,He,#NAME?,49200,90,2995,9,B-,16140,90      1
7,3,10,Li,#NAME?,33053,13,4531.4,1.3,B-,20445,13      1
6,4,10,Be,,12607.49,0.08,6497.63,0.008,B-,556.88,0.08   1
5,5,10,B,,12050.609,0.015,6475.083,0.002,,*,1
4,6,10,C,,15698.67,0.07,6032.042,0.007,B+,3648.06,0.07   1
3,7,10,N,--,38800,400,3640,40,B+,23100,400      1
8,3,11,Li,x,40728.3,0.6,4155.38,0.06,B-,20551.1,0.7    1
7,4,11,Be,,20177.17,0.24,5952.54,0.022,B-,11509.46,0.24   1
6,5,11,B,,8667.707,0.012,6927.732,0.001,,*,1
5,6,11,C,,10649.4,0.06,6676.456,0.005,B+,1981.69,0.06   1
4,7,11,N,#NAME?,24300,50,5364,4,B+,13650,50      1
9,3,12,Li,#NAME?,49010,30,3791.6,2.5,B-,23930,30      1
8,4,12,Be,,25077.8,1.9,5720.72,0.16,B-,11708.4,2.3    1
7,5,12,B,,13369.4,1.3,6631.22,0.11,B-,13369.4,1.3    1
6,6,12,C,,0,0,7680.144,0,,*,1
5,7,12,N,,17338.1,1,6170.11,0.08,B+,17338.1,1.0    1
4,8,12,O,#NAME?,31915,24,4890.2,2,B+,14577,24      1
10,3,13,Li,#NAME?,56980,70,3508,5,B-,23320,70      1
9,4,13,Be,#NAME?,33659,10,5241.4,0.8,B-,17097,10      1
8,5,13,B,#NAME?,16561.9,1,6496.42,0.08,B-,13436.9,1.0    1
7,6,13,C,,3125.00888,0.00021,7469.849,0,,*,1
6,7,13,N,,5345.48,0.27,7238.863,0.021,B+,2220.47,0.27   1
5,8,13,O,+3n,23115,10,5811.8,0.7,B+,17770,10      1
10,4,14,Be,x,39950,130,4994,9,B-,16290,130      1
9,5,14,B,,23664,21,6101.6,1.5,B-,20644,21      1
8,6,14,C,,3019.893,0.004,7520.319,0,B-,156.476,0.004  1
7,7,14,N,,2863.41672,0.00019,7475.614,0,,*,1
6,8,14,O,,8007.781,0.025,7052.278,0.002,B+,5144.364,0.025  1
5,9,14,F,#NAME?,31960,40,5285.2,2.9,B+,23960,40      1
11,4,15,Be,#NAME?,49830,170,4541,11,B-,20870,170      1
10,5,15,B,,28958,21,5880,1.4,B-,19085,21      1
9,6,15,C,#NAME?,9873.1,0.8,7100.17,0.05,B-,9771.7,0.8    1
8,7,15,N,,101.4387,0.0006,7699.46,0,,*,1
7,8,15,O,,2855.6,0.5,7463.69,0.03,B+,2754.2,0.5    1
6,9,15,F,#NAME?,16567,14,6497.5,0.9,B+,13711,14      1
5,10,15,Ne,#NAME?,40220,70,4869,4,B+,23650,70      1
12,4,16,Be,#NAME?,57450,170,4285,10,B-,20330,170      1
11,5,16,B,,37113,25,5507.3,1.5,B-,23418,25      1
10,6,16,C,#NAME?,13694,4,6922.05,0.22,B-,8010,4      1
9,7,16,N,#NAME?,5683.9,2.3,7373.8,0.14,B-,10420.9,2.3    1
8,8,16,O,,-4737.00135,0.00016,7976.206,0,,*,1
7,9,16,F,-,10680,8,6963.7,0.5,B+,15417,8      1
6,10,16,Ne,--,23987,20,6083.2,1.3,B+,13307,22      1
12,5,17,B,x,43720,200,5270,12,B-,22680,200      1
11,6,17,C,2p-n,21032,17,6558,1,B-,13162,23      1
10,7,17,N,#NAME?,7870,15,7286.2,0.9,B-,8679,15      1
9,8,17,O,,-808.7635,0.0007,7750.728,0,,*,1
8,9,17,F,,1951.7,0.25,7542.328,0.015,B+,2760.47,0.25   1
7,10,17,Ne,,16500.4,0.4,6640.499,0.021,B+,14548.7,0.4    1
6,11,17,Na,x,35170,1000,5500,60,B+,18670,1000      1
13,5,18,B,#NAME?,51790,200,4977,11,B-,26870,210      1
12,6,18,C,++,24920,30,6426.1,1.7,B-,11810,40      1
11,7,18,N,+,13113,19,7038.6,1,B-,13896,19      1
10,8,18,O,,-782.8156,0.0007,7767.097,0,,*,1
9,9,18,F,,873.1,0.5,7631.638,0.026,B+,1655.9,0.5    1
8,10,18,Ne,,5317.6,0.4,7341.257,0.02,B+,4444.5,0.6    1
7,11,18,Na,,25040,90,6202,5,B+,19720,90      1
14,5,19,B,x,59770,530,4720,28,B-,27360,530      1
13,6,19,C,#NAME?,32410,100,6118,5,B-,16560,100      1
12,7,19,N,p-2n,15856,16,6948.5,0.9,B-,12523,17      1
11,8,19,O,#NAME?,3332.9,2.6,7566.49,0.14,B-,4820.3,2.6    1
10,9,19,F,,-1487.4442,0.0009,7779.018,0,,*,1
9,10,19,Ne,+3n,1752.05,0.16,7567.343,0.008,B+,3239.49,0.16   1
8,11,19,Na,,12929,11,6937.9,0.6,B+,11177,11      1
7,12,19,Mg,#NAME?,31830,50,5902,2.6,B+,18900,50      1
15,5,20,B,x,68450,800,4450,40,B-,30950,830.     2
14,6,20,C,x,37500,230,5961,12,B-,15740,240      2
13,7,20,N,x,21770,80,6709,4,B-,17970,80      2
12,8,20,O,#NAME?,3796.2,0.9,7568.57,0.04,B-,3813.6,0.9    2
11,9,20,F,#NAME?,-17.463,0.03,7720.134,0.002,B-,7024.467,0.030  1
10,10,20,Ne,,-7041.9305,0.0016,8032.24,0,,*,1
9,11,20,Na,,6850.6,1.1,7298.5,0.06,B+,13892.5,1.1    2
8,12,20,Mg,#NAME?,17477.7,1.9,6728.02,0.09,B+,10627.1,2.2    2
16,5,21,B,x,77330,900,4200,40,B-,31690,1080.     2
15,6,21,C,x,45640,600,5674,28,B-,20410,610.     2
14,7,21,N,x,25230,130,6609,6,B-,17170,130      2
13,8,21,O,-3n,8062,12,7389.4,0.6,B-,8110,12      2
12,9,21,F,#NAME?,-47.6,1.8,7738.29,0.09,B-,5684.2,1.8    2
11,10,21,Ne,,-5731.78,0.04,7971.713,0.002,,*,2
10,11,21,Na,,-2184.63,0.1,7765.547,0.005,B+,3547.14,0.09   2
9,12,21,Mg,x,10903.8,0.8,7105.03,0.04,B+,13088.5,0.8    2
8,13,21,Al,x,26990,600,6302,28,B+,16090,600.     2
16,6,22,C,#NAME?,53610,230,5421,11,B-,21850,310      2
15,7,22,N,x,31760,210,6379,9,B-,22480,220      2
14,8,22,O,-4n,9280,60,7364.9,2.6,B-,6490,60      2
13,9,22,F,+,2793,12,7624.3,0.6,B-,10818,12      2
12,10,22,Ne,,-8024.719,0.018,8080.465,0.001,,*,2
11,11,22,Na,,-5181.51,0.17,7915.667,0.008,B+,2843.21,0.17   2
10,12,22,Mg,,-399.9,0.3,7662.761,0.014,B+,4781.6,0.3    2
9,13,22,Al,x,18200,400,6782,18,B+,18600,400.     2
8,14,22,Si,x,33340,500,6058,23,B+,15140,640.     2
17,6,23,C,x,64170,1000,5080,40,B-,27450,1080.     2
16,7,23,N,x,36720,420,6237,18,B-,22100,440      2
15,8,23,O,x,14620,120,7163,5,B-,11340,130      2
14,9,23,F,,3290,30,7622.3,1.4,B-,8440,30      2
13,10,23,Ne,#NAME?,-5154.05,0.1,7955.256,0.005,B-,4375.8,0.10   2
12,11,23,Na,,-9529.8525,0.0018,8111.493,0,,*,2
11,12,23,Mg,-,-5473.51,0.16,7901.115,0.007,B+,4056.34,0.16   2
10,13,23,Al,--,6748.1,0.3,7335.727,0.015,B+,12221.6,0.4    2
9,14,23,Si,x,23700,500,6565,22,B+,16950,500.     2
17,7,24,N,x,46940,400,5887,17,B-,28440,430.     2
16,8,24,O,x,18500,160,7040,7,B-,10960,190      2
15,9,24,F,x,7540,100,7464,4,B-,13500,100      2
14,10,24,Ne,#NAME?,-5951.6,0.5,7993.325,0.021,B-,2466.3,0.5    2
13,11,24,Na,#NAME?,-8417.901,0.017,8063.488,0.001,B-,5515.669,0.021  2
12,12,24,Mg,,-13933.569,0.013,8260.709,0.001,,*,2
11,13,24,Al,ep,-48.86,0.23,7649.582,0.01,B+,13884.7,0.23   2
10,14,24,Si,--,10745,19,7167.2,0.8,B+,10794,19      2
9,15,24,P,x,33320,500,6194,21,B+,22570,500.     2
18,7,25,N,x,55980,500,5613,20,B-,28650,530.     2
17,8,25,O,#NAME?,27330,170,6728,7,B-,15990,190      2
16,9,25,F,x,11330,100,7336,4,B-,13370,100      2
15,10,25,Ne,,-2036,29,7839.8,1.2,B-,7322,29      2
14,11,25,Na,#NAME?,-9357.8,1.2,8101.4,0.05,B-,3835,1.2    2
13,12,25,Mg,,-13192.78,0.05,8223.502,0.002,,*,2
12,13,25,Al,,-8915.97,0.06,8021.136,0.003,B+,4276.81,0.04   2
11,14,25,Si,+3n,3827,10,7480.1,0.4,B+,12743,10      2
10,15,25,P,x,19740,400,6812,16,B+,15910,400.     2
18,8,26,O,#NAME?,34660,160,6497,6,B-,16010,200      2
17,9,26,F,x,18650,110,7083,4,B-,18170,110      2
16,10,26,Ne,x,481,18,7751.9,0.7,B-,7342,19      2
15,11,26,Na,x,-6861,4,8004.2,0.13,B-,9354,4      2
14,12,26,Mg,,-16214.542,0.03,8333.87,0.001,,*,2
13,13,26,Al,,-12210.15,0.07,8149.765,0.003,B+,4004.39,0.06   2
12,14,26,Si,-,-7141.02,0.11,7924.708,0.004,B+,5069.14,0.08   2
11,15,26,P,x,10970,200,7198,8,B+,18110,200.     2
10,16,26,S,x,27080,600,6548,23,B+,16110,630.     2
19,8,27,O,x,44670,500,6185,19,B-,19220,630.     2
18,9,27,F,x,25450,390,6868,14,B-,18400,400      2
17,10,27,Ne,x,7050,90,7520,3,B-,12570,90      2
16,11,27,Na,++,-5518,4,7956.95,0.14,B-,9069,4      2
15,12,27,Mg,#NAME?,-14586.61,0.05,8263.852,0.002,B-,2610.25,0.07   2
14,13,27,Al,,-17196.86,0.05,8331.553,0.002,,*,2
13,14,27,Si,-,-12384.5,0.11,8124.341,0.004,B+,4812.36,0.10   2
12,15,27,P,p4n,-722,26,7663.4,1,B+,11662,26      2
11,16,27,S,-,17030,400,6977,15,B+,17750,400.     2
20,8,28,O,x,52080,700,5988,25,B-,18340,800.     2
19,9,28,F,#NAME?,33740,390,6615,14,B-,22440,410      2
18,10,28,Ne,x,11300,130,7388,5,B-,12290,130      2
17,11,28,Na,x,-988,10,7799.3,0.4,B-,14031,10      2
16,12,28,Mg,+,-15018.8,2,8272.41,0.07,B-,1831.8,2.0    2
15,13,28,Al,#NAME?,-16850.64,0.08,8309.894,0.003,B-,4642.15,0.08   2
14,14,28,Si,,-21492.7943,0.0005,8447.744,0,,*,2
13,15,28,P,,-7147.7,1.2,7907.48,0.04,B+,14345.1,1.2    2
12,16,28,S,--,4070,160,7479,6,B+,11220,160      2
11,17,28,Cl,x,27520,600,6614,21,B+,23440,620.     2
20,9,29,F,x,40150,530,6444,18,B-,21750,550      2
19,10,29,Ne,x,18400,150,7167,5,B-,15720,150      2
18,11,29,Na,,2680,7,7682.15,0.25,B-,13283,14      2
17,12,29,Mg,x,-10603,11,8113.2,0.4,B-,7605,11      2
16,13,29,Al,x,-18207.8,0.3,8348.464,0.012,B-,3687.3,0.3    2
15,14,29,Si,,-21895.0784,0.0006,8448.635,0,,*,2
14,15,29,P,,-16952.8,0.4,8251.236,0.012,B+,4942.2,0.4    2
13,16,29,S,+3n,-3160,50,7748.5,1.7,B+,13800,50      2
12,17,29,Cl,#NAME?,13160,190,7159,7,B+,16320,200      2
21,9,30,F,x,48110,600,6233,20,B-,24830,650.     3
20,10,30,Ne,,23280,250,7035,8,B-,14810,250      3
19,11,30,Na,,8475,5,7501.97,0.16,B-,17358,6      3
18,12,30,Mg,x,-8884,3,8054.51,0.11,B-,6981,4      2
17,13,30,Al,x,-15864.8,2.9,8261.13,0.1,B-,8568.1,2.9    2
16,14,30,Si,#NAME?,-24432.96,0.022,8520.654,0.001,,*,2
15,15,30,P,-,-20200.85,0.07,8353.506,0.002,B+,4232.11,0.06   2
14,16,30,S,-,-14059.25,0.21,8122.707,0.007,B+,6141.6,0.20   2
13,17,30,Cl,x,4440,200,7480,7,B+,18500,200.     3
12,18,30,Ar,#NAME?,20930,210,6904,7,B+,16490,280.     3
22,9,31,F,#NAME?,56140,550,6033,18,B-,24960,610.     3
21,10,31,Ne,,31180,270,6813,9,B-,18940,270      3
20,11,31,Na,x,12246,14,7398.7,0.5,B-,15368,14      3
19,12,31,Mg,x,-3122,3,7869.19,0.1,B-,11829,4      3
18,13,31,Al,x,-14950.7,2.2,8225.52,0.07,B-,7998.3,2.2    3
17,14,31,Si,#NAME?,-22949.04,0.04,8458.291,0.001,B-,1491.5,0.04   3
16,15,31,P,,-24440.541,0.0007,8481.167,0,,*,3
15,16,31,S,,-19042.52,0.23,8281.8,0.007,B+,5398.02,0.23   3
14,17,31,Cl,--,-7035,3,7869.21,0.11,B+,12008,3      3
13,18,31,Ar,-,11330,200,7252,6,B+,18360,200.     3
22,10,32,Ne,x,37000,500,6671,16,B-,18360,500.     3
21,11,32,Na,x,18640,40,7219.9,1.2,B-,19470,40      3
20,12,32,Mg,x,-829,3,7803.84,0.1,B-,10270,8      3
19,13,32,Al,x,-11099,7,8100.34,0.22,B-,12978,7      3
18,14,32,Si,x,-24077.69,0.3,8481.468,0.009,B-,227.2,0.3    3
17,15,32,P,#NAME?,-24304.87,0.04,8464.12,0.001,B-,1710.66,0.04   3
16,16,32,S,,-26015.5336,0.0013,8493.129,0,,*,3
15,17,32,Cl,,-13334.7,0.6,8072.404,0.018,B+,12680.9,0.6    3
14,18,32,Ar,x,-2200.4,1.8,7700.01,0.06,B+,11134.3,1.9    3
13,19,32,K,x,21100,400,6947,13,B+,23300,400.     3
23,10,33,Ne,x,46000,600,6440,18,B-,22220,750.     3
22,11,33,Na,x,23780,450,7090,14,B-,18820,450      3
21,12,33,Mg,x,4962.3,2.9,7636.45,0.09,B-,13460,8      3
20,13,33,Al,x,-8497,7,8020.62,0.21,B-,12017,7      3
19,14,33,Si,x,-20514.3,0.7,8361.059,0.021,B-,5823,1.3    3
18,15,33,P,+,-26337.3,1.1,8513.81,0.03,B-,248.5,1.1    3
17,16,33,S,,-26585.8543,0.0014,8497.63,0,,*,3
16,17,33,Cl,,-21003.3,0.4,8304.755,0.012,B+,5582.5,0.4    3
15,18,33,Ar,x,-9384.3,0.4,7928.955,0.012,B+,11619,0.6    3
14,19,33,K,x,7040,200,7407,6,B+,16430,200.     3
24,10,34,Ne,#NAME?,52840,510,6287,15,B-,21160,790.     3
23,11,34,Na,x,31680,600,6886,18,B-,23360,600      3
22,12,34,Mg,x,8323,29,7550.4,0.8,B-,11324,29      3
21,13,34,Al,x,-3000,3,7860.43,0.09,B-,16957,14      3
20,14,34,Si,#NAME?,-19957,14,8336.1,0.4,B-,4592,14      3
19,15,34,P,x,-24548.7,0.8,8448.185,0.024,B-,5383,0.8    3
18,16,34,S,,-29931.69,0.04,8583.498,0.001,,*,3
17,17,34,Cl,,-24440.08,0.05,8398.97,0.002,B+,5491.6,0.04   3
16,18,34,Ar,,-18378.29,0.08,8197.672,0.002,B+,6061.79,0.06   3
15,19,34,K,x,-1220,200,7670,6,B+,17160,200.     3
14,20,34,Ca,x,13850,300,7204,9,B+,15070,360.     3
24,11,35,Na,#NAME?,38230,670,6733,19,B-,22590,720.     3
23,12,35,Mg,x,15640,270,7356,8,B-,15860,270      3
22,13,35,Al,x,-224,7,7787.12,0.21,B-,14170,40      3
21,14,35,Si,2p-n,-14390,40,8169.6,1,B-,10470,40      3
20,15,35,P,#NAME?,-24857.8,1.9,8446.25,0.05,B-,3988.4,1.9    3
19,16,35,S,,-28846.21,0.04,8537.85,0.001,B-,167.322,0.026  3
18,17,35,Cl,,-29013.53,0.04,8520.278,0.001,,*,3
17,18,35,Ar,-,-23047.3,0.7,8327.461,0.019,B+,5966.2,0.7    3
16,19,35,K,4n,-11172.9,0.5,7965.84,0.015,B+,11874.4,0.9    3
15,20,35,Ca,x,4790,200,7487,6,B+,15960,200.     3
25,11,36,Na,#NAME?,46300,680,6546,19,B-,25920,970.     3
24,12,36,Mg,x,20380,690,7244,19,B-,14430,710      3
23,13,36,Al,x,5950,150,7624,4,B-,18390,170      3
22,14,36,Si,x,-12440,70,8112.5,2,B-,7810,70      3
21,15,36,P,+,-20251,13,8307.9,0.4,B-,10413,13      3
20,16,36,S,,-30664.13,0.19,8575.389,0.005,B-,-1142.13,0.19   3
19,17,36,Cl,,-29522.01,0.04,8521.931,0.001,B-,709.53,0.04   3
18,18,36,Ar,,-30231.54,0.027,8519.909,0.001,,*,3
17,19,36,K,,-17417.1,0.3,8142.219,0.009,B+,12814.5,0.3    3
16,20,36,Ca,4n,-6450,40,7815.9,1.1,B+,10970,40      3
15,21,36,Sc,x,15350,300,7189,8,B+,21800,300.     3
26,11,37,Na,#NAME?,53530,690,6392,19,B-,25320,980.     3
25,12,37,Mg,#NAME?,28210,700,7055,19,B-,18400,720      3
24,13,37,Al,x,9810,180,7531,5,B-,16380,210      3
23,14,37,Si,x,-6570,110,7953,3,B-,12420,120      3
22,15,37,P,p-2n,-19000,40,8267.6,1,B-,7900,40      3
21,16,37,S,#NAME?,-26896.42,0.2,8459.935,0.005,B-,4865.12,0.20   3
20,17,37,Cl,,-31761.54,0.05,8570.281,0.001,,*,3
19,18,37,Ar,-,-30947.66,0.21,8527.139,0.006,B+,813.87,0.20   3
18,19,37,K,#NAME?,-24800.2,0.09,8339.847,0.003,B+,6147.47,0.23   3
17,20,37,Ca,x,-13136.1,0.6,8003.456,0.017,B+,11664.1,0.6    3
16,21,37,Sc,x,3520,300,7532,8,B+,16660,300.     3
26,12,38,Mg,x,34070,500,6928,13,B-,17860,630.     3
25,13,38,Al,x,16210,370,7377,10,B-,20380,390      3
24,14,38,Si,x,-4170,100,7892.8,2.8,B-,10450,130      3
23,15,38,P,x,-14620,70,8147.3,1.9,B-,12240,70      3
22,16,38,S,+,-26861,7,8448.78,0.19,B-,2937,7      3
21,17,38,Cl,#NAME?,-29798.1,0.1,8505.481,0.003,B-,4916.72,0.22   3
20,18,38,Ar,,-34714.82,0.19,8614.28,0.005,,*,3
19,19,38,K,,-28800.75,0.2,8438.058,0.005,B+,5914.07,0.04   3
18,20,38,Ca,,-22058.5,0.19,8240.043,0.005,B+,6742.26,0.06   3
17,21,38,Sc,x,-4250,200,7751,5,B+,17810,200.     3
16,22,38,Ti,x,10870,300,7332,8,B+,15120,360.     3
27,12,39,Mg,#NAME?,42280,510,6747,13,B-,21630,650.     3
26,13,39,Al,x,20650,400,7281,10,B-,18330,420.     3
25,14,39,Si,x,2320,140,7731,3,B-,15090,180      3
24,15,39,P,x,-12770,110,8098,2.9,B-,10390,120      3
23,16,39,S,2p-n,-23160,50,8344.3,1.3,B-,6640,50      3
22,17,39,Cl,#NAME?,-29800.2,1.7,8494.4,0.04,B-,3442,5      3
21,18,39,Ar,+,-33242,5,8562.6,0.13,B-,565,5      3
20,19,39,K,,-33807.19,0.005,8557.025,0,,*,3
19,20,39,Ca,,-27282.7,0.6,8369.67,0.015,B+,6524.5,0.6    3
18,21,39,Sc,2n-p,-14173,24,8013.5,0.6,B+,13110,24      3
17,22,39,Ti,x,2200,200,7574,5,B+,16370,200.     3
28,12,40,Mg,x,48350,500,6628,13,B-,20760,640.     4
27,13,40,Al,x,27590,400,7127,10,B-,22160,530.     4
26,14,40,Si,x,5430,350,7662,9,B-,13540,380      4
25,15,40,P,x,-8110,150,7981,4,B-,14720,150      3
24,16,40,S,,-22838,4,8329.32,0.1,B-,4720,30      3
23,17,40,Cl,+,-27560,30,8427.8,0.8,B-,7480,30      3
22,18,40,Ar,,-35039.8946,0.0022,8595.259,0,B-,-1504.4,0.06   3
21,19,40,K,,-33535.49,0.06,8538.09,0.001,B-,1310.89,0.06   3
20,20,40,Ca,,-34846.384,0.021,8551.303,0.001,,*,3
19,21,40,Sc,-,-20523.3,2.8,8173.67,0.07,B+,14323,2.8    3
18,22,40,Ti,--,-8850,160,7862,4,B+,11670,160      3
17,23,40,V,x,12170,300,7317,7,B+,21020,340.     4
28,13,41,Al,x,33420,500,7008,12,B-,21300,750.     4
27,14,41,Si,x,12120,550,7509,14,B-,17100,570      4
26,15,41,P,x,-4980,120,7906.6,2.9,B-,14030,120      4
25,16,41,S,x,-19009,4,8229.64,0.1,B-,8300,70      4
24,17,41,Cl,x,-27310,70,8413,1.7,B-,5760,70      4
23,18,41,Ar,#NAME?,-33067.5,0.3,8534.372,0.008,B-,2492,0.3    4
22,19,41,K,,-35559.543,0.004,8576.072,0,,*,4
21,20,41,Ca,,-35137.89,0.14,8546.706,0.003,B+,421.65,0.14   4
20,21,41,Sc,,-28642.41,0.08,8369.198,0.002,B+,6495.48,0.16   4
19,22,41,Ti,x,-15698,28,8034.4,0.7,B+,12945,28      4
18,23,41,V,x,320,200,7625,5,B+,16020,200.     4
29,13,42,Al,x,40100,600,6874,14,B-,23630,780.     4
28,14,42,Si,x,16470,500,7418,12,B-,15460,590.     4
27,15,42,P,x,1010,310,7768,7,B-,18650,310      4
26,16,42,S,x,-17637.7,2.8,8193.23,0.07,B-,7190,60      4
25,17,42,Cl,x,-24830,60,8345.9,1.4,B-,9590,60      4
24,18,42,Ar,x,-34423,6,8555.61,0.14,B-,599,6      4
23,19,42,K,#NAME?,-35022.03,0.11,8551.256,0.003,B-,3525.22,0.18   4
22,20,42,Ca,,-38547.24,0.15,8616.563,0.004,,*,4
21,21,42,Sc,,-32121.15,0.17,8444.933,0.004,B+,6426.09,0.10   4
20,22,42,Ti,,-25104.67,0.28,8259.247,0.007,B+,7016.48,0.22   4
19,23,42,V,x,-7620,200,7824,5,B+,17490,200.     4
18,24,42,Cr,x,6730,400,7464,10,B+,14350,450.     4
30,13,43,Al,x,47020,800,6741,19,B-,23920,1000.     4
29,14,43,Si,x,23100,600,7279,14,B-,18420,810.     4
28,15,43,P,x,4680,550,7690,13,B-,16880,550      4
27,16,43,S,x,-12195,5,8063.83,0.12,B-,11960,60      4
26,17,43,Cl,x,-24160,60,8323.9,1.4,B-,7850,60      4
25,18,43,Ar,x,-32010,5,8488.24,0.12,B-,4566,5      4
24,19,43,K,-4n,-36575.4,0.4,8576.22,0.01,B-,1833.4,0.5    4
23,20,43,Ca,,-38408.82,0.23,8600.663,0.005,,*,4
22,21,43,Sc,#NAME?,-36188.1,1.9,8530.82,0.04,B+,2220.7,1.9    4
21,22,43,Ti,#NAME?,-29321,7,8352.93,0.17,B+,6867,7      4
20,23,43,V,x,-17920,40,8069.5,1,B+,11400,40      4
19,24,43,Cr,x,-1970,400,7680,9,B+,15950,400.     4
30,14,44,Si,x,28510,600,7174,14,B-,18060,780.     4
29,15,44,P,x,10450,500,7567,11,B-,19660,500.     4
28,16,44,S,x,-9204,5,7996.01,0.12,B-,11180,140      4
27,17,44,Cl,x,-20380,140,8232,3,B-,12290,140      4
26,18,44,Ar,x,-32673.3,1.6,8493.84,0.04,B-,3108.2,1.6    4
25,19,44,K,x,-35781.5,0.4,8546.701,0.01,B-,5687.2,0.5    4
24,20,44,Ca,,-41468.7,0.3,8658.175,0.007,,*,4
23,21,44,Sc,#NAME?,-37816,1.8,8557.38,0.04,B+,3652.7,1.8    4
22,22,44,Ti,#NAME?,-37548.6,0.7,8533.52,0.016,B+,267.4,1.9    4
21,23,44,V,x,-24120,180,8210,4,B+,13430,180      4
20,24,44,Cr,x,-13360,300,7948,7,B+,10760,350.     4
19,25,44,Mn,x,7030,500,7467,11,B+,20390,580.     4
31,14,45,Si,x,37490,700,6995,16,B-,21890,860.     4
30,15,45,P,x,15600,500,7464,11,B-,19590,1150.     4
29,16,45,S,x,-3990,1040,7882,23,B-,14270,1040      4
28,17,45,Cl,x,-18260,140,8182,3,B-,11510,140      4
27,18,45,Ar,x,-29770.8,0.5,8419.952,0.011,B-,6844.8,0.7    4
26,19,45,K,x,-36615.6,0.5,8554.674,0.012,B-,4196.5,0.6    4
25,20,45,Ca,,-40812.2,0.4,8630.545,0.008,B-,259.7,0.7    4
24,21,45,Sc,,-41071.9,0.7,8618.931,0.015,,*,4
23,22,45,Ti,,-39009.8,0.8,8555.722,0.019,B+,2062.1,0.5    4
22,23,45,V,,-31886,0.9,8380.029,0.019,B+,7123.82,0.21   4
21,24,45,Cr,x,-19510,40,8087.7,0.8,B+,12370,40      4
20,25,45,Mn,x,-5250,400,7753,9,B+,14270,400.     4
19,26,45,Fe,#NAME?,13760,400,7313,9,B+,19010,570.     4
31,15,46,P,x,22970,700,7317,15,B-,22630,860.     4
30,16,46,S,x,340,500,7792,11,B-,14200,540.     4
29,17,46,Cl,x,-13860,210,8083,5,B-,15910,210      4
28,18,46,Ar,x,-29772.9,1.1,8412.419,0.024,B-,5641,1.3    4
27,19,46,K,x,-35413.9,0.7,8518.042,0.016,B-,7725.4,2.4    4
26,20,46,Ca,,-43139.4,2.2,8668.98,0.05,B-,-1378.1,2.3    4
25,21,46,Sc,#NAME?,-41761.2,0.7,8622.012,0.015,B-,2366.6,0.7    4
24,22,46,Ti,,-44127.8,0.16,8656.451,0.004,,*,4
23,23,46,V,,-37075.35,0.2,8486.13,0.004,B+,7052.45,0.09   4
22,24,46,Cr,,-29472,11,8303.82,0.25,B+,7604,11      4
21,25,46,Mn,x,-12570,400,7919,9,B+,16900,400.     4
20,26,46,Fe,x,910,500,7609,11,B+,13480,640.     4
32,15,47,P,x,29710,800,7190,17,B-,22340,940.     4
31,16,47,S,x,7370,500,7648,11,B-,17150,640.     4
30,17,47,Cl,x,-9780,400,7996,9,B-,15590,400.     4
29,18,47,Ar,x,-25366.3,1.1,8311.404,0.024,B-,10345.6,1.8    4
